No,Nama Prodi,Nama PT,Jenjang,LLDikti,
276,KEBIDANAN,AKADEMI KEBIDANAN PONDOK PESANTREN ASSANADIYAH,,,
277,KEBIDANAN,AKADEMI KEBIDANAN PRIMA HUSADA,,,
278,KEBIDANAN,AKADEMI KEBIDANAN PRIMA INDONESIA,D-III,4,
279,KEBIDANAN,AKADEMI KEBIDANAN PRIMA SENGKANG,D-III,9,
280,KEBIDANAN,AKADEMI KEBIDANAN PUBLIC HEALTH MEDICAL NURSING MEULABOH,,,
281,KEBIDANAN,AKADEMI KEBIDANAN PUTRA JAYA MANDIRI BATAM,,,
282,KEBIDANAN,AKADEMI KEBIDANAN PUTRI BANGSA PARIAMAN,,,
283,KEBIDANAN,AKADEMI KEBIDANAN RANGGA HUSADA PRABUMULIH,,,
284,KEBIDANAN,AKADEMI KEBIDANAN REFORMASI,,,
285,KEBIDANAN,AKADEMI KEBIDANAN RESPATI,D-III,4,
286,KEBIDANAN,AKADEMI KEBIDANAN RIZKI PATYA,,,
287,KEBIDANAN,AKADEMI KEBIDANAN RSPAD GATOT SOEBROTO,D-III,3,
288,KEBIDANAN,AKADEMI KEBIDANAN SALEHA,,,
289,KEBIDANAN,AKADEMI KEBIDANAN SALMA,,,
290,KEBIDANAN,AKADEMI KEBIDANAN SANDI KARSA,D-III,9,
291,KEBIDANAN,AKADEMI KEBIDANAN SARI MUTIARA MEDAN,D-III,1,
292,KEBIDANAN,AKADEMI KEBIDANAN SAYID SABIQ INDRAMAYU,,,
293,KEBIDANAN,AKADEMI KEBIDANAN SEHAT MEDAN,,,
294,KEBIDANAN,AKADEMI KEBIDANAN SEHATI,,,
295,KEBIDANAN,AKADEMI KEBIDANAN SEMPENA NEGERI PEKANBARU,,,
296,KEBIDANAN,AKADEMI KEBIDANAN SENTRA BINA YUDHISTIRA TANGERANG,,,
297,KEBIDANAN,AKADEMI KEBIDANAN SENTRAL,,,
298,KEBIDANAN,AKADEMI KEBIDANAN SIFRA HUSADA,,,
299,KEBIDANAN,AKADEMI KEBIDANAN SINAR KASIH TORAJA,,,
300,KEBIDANAN,AKADEMI KEBIDANAN SINGKAWANG,,,
301,KEBIDANAN,AKADEMI KEBIDANAN SISMADI,,,
302,KEBIDANAN,AKADEMI KEBIDANAN SITI FATIMAH,D-III,6,
303,KEBIDANAN,AKADEMI KEBIDANAN ST. BENEDICTA PONTIANAK,D-III,11,
304,KEBIDANAN,AKADEMI KEBIDANAN SUKAWATI LAWANG,,,
305,KEBIDANAN,AKADEMI KEBIDANAN SURYA MANDIRI KOTA BIMA,,,
306,KEBIDANAN,AKADEMI KEBIDANAN TAHIRAH AL BAETI BULUKUMBA,,,
307,KEBIDANAN,AKADEMI KEBIDANAN TARUTUNG PEMKAB TAPANULI UTARA,,,
308,KEBIDANAN,AKADEMI KEBIDANAN TIARA BUNDA,,,
309,KEBIDANAN,AKADEMI KEBIDANAN TRINITA MANADO,,,
310,KEBIDANAN,AKADEMI KEBIDANAN TUNAS HARAPAN BANGSA,,,
311,KEBIDANAN,AKADEMI KEBIDANAN UMI BAGAN BATU,,,
312,KEBIDANAN,AKADEMI KEBIDANAN UMMI KHASANAH,D-III,5,
313,KEBIDANAN,AKADEMI KEBIDANAN WAHANA HUSADA BANDAR JAYA,D-III,2,
314,KEBIDANAN,AKADEMI KEBIDANAN WIJAYA HUSADA,D-III,4,
315,KEBIDANAN,AKADEMI KEBIDANAN WIRA BUANA METRO,,,
316,KEBIDANAN,AKADEMI KEBIDANAN WIRA HUSADA NUSANTARA,D-III,7,
317,KEBIDANAN,AKADEMI KEBIDANAN WIYATA MITRA HUSADA NGANJUK,,,
318,KEBIDANAN,AKADEMI KEBIDANAN YALEKA MARO MERAUKE,,,
319,KEBIDANAN,AKADEMI KEBIDANAN YAPKESBI BANJARBARU,D-III,11,
320,KEBIDANAN,AKADEMI KEBIDANAN YAPMA MAKASSAR,,,
321,KEBIDANAN,AKADEMI KEBIDANAN YAPPI SRAGEN,D-III,6,
322,KEBIDANAN ,AKADEMI KEBIDANAN YASPEN TUGU IBU,,,
323,KEBIDANAN,AKADEMI KEBIDANAN YAYASAN KESEHATAN NASIONAL,D-III,9,
324,KEBIDANAN,AKADEMI KEBIDANAN YAYASAN PENDIDIKAN MONA,D-III,13,
325,KEBIDANAN,AKADEMI KEBIDANAN YAYASAN RUMAH SAKIT JAKARTA,,,
326,KEBIDANAN,AKADEMI KEBIDANAN YPDR,,,
327,KEBIDANAN,AKADEMI KEBIDANAN YPSDMI,,,
